sentiment,top_themes,pain_points,delighters,suggested_actions,summary,app,sample_id
negative,"[{'theme': 'i cant add someone by id this app is super bad please fix the camera feature i cant use it i cant add anyone using the qr code this app', 'polarity': 'mixed', 'evidence': []}]",['i cant add someone by id this app is super bad please fix the camera feature i cant use it i cant add anyone using the qr code this app is full of bugs not good app always theres a error wrost app waste of'],['ad blocker'],[],... a superapp that goes beyond messaging to handle payments and daily services all in one sleek interface,LINE,77
negative,"[{'theme': 'o sucks', 'polarity': 'mixed', 'evidence': []}]",['o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o'],['o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o'],[],o slack on this app,Dropbox,78
negative,"[{'theme': 'app downhill', 'polarity': 'mixed', 'evidence': []}]",['this app has gone downhill bunch of fake people impersonating using stolen profile images is crazy all of a sudden elon musk is wanting to talk to me on here this app used to be good until they started removing all the functions and it isnt the same'],['gentle thread'],[],samsung galaxy j7,LINE,79
positive,"[{'theme': 'i love it but i hate that spotify premium is 1299 usd', 'polarity': 'mixed', 'evidence': []}]","[""shuffle doesn't make sense and update is gone bad even more when you need to pay for everything 4 ads is not enough nice need more alternative music has a lot of songs but not all of them sadly the widget does not work again why is it so hard to finally fix""]",['great variety of music easy fo uae app and affordable if you subscribe to it the favorite music shuffle doesnt makes sense and update its gone bad even more when you need to pay for everything 4 ads is not enough nice need more alternative music has a lot of songs but'],"[{'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}, {'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",i love it but i hate that spotify premium is 1299 usd,Spotify,80
negative,"[{'theme': 'account', 'polarity': 'mixed', 'evidence': []}]","[""Can't uninstall it its a virus the only reason i still have this account is for the contacts i dont want to lose battery drain in the background with restricted battery usage on what is going on here killing phone battery it is facebook what is the there to say or comment on ho""]",['Facebook'],"[{'owner': 'Engineering', 'action': 'Investigate battery drain', 'priority': 'P1'}]","Facebook's latest update is a mess, but it's still a good app.",Facebook,81
negative,"[{'theme': 'app', 'polarity': 'mixed', 'evidence': []}]",['ad'],['ad'],[],...,LINE,82
negative,"[{'theme': 'messenger bug', 'polarity': 'mixed', 'evidence': []}]","[""i can't open the app""]",['i like the igno'],[],ai is a good app but it's not perfect,Facebook Messenger,83
positive,"[{'theme': 'laggy', 'polarity': 'mixed', 'evidence': []}]",['lag on t'],['x is more laggy now on my phone and makes x in my phone is more not responding please fix the lag on t'],"[{'owner': 'Engineering', 'action': 'Optimize to reduce lag', 'priority': 'P1'}]",... a raha hai bahut,Twitter,84
positive,"[{'theme': 'glitch', 'polarity': 'mixed', 'evidence': []}]",['i cant watch the video because of glitch'],['i cant watch the video because of glitch'],[],Lite is a good app but it's not as good as Facebook's lite.,Facebook Lite,85
negative,"[{'theme': 'app crashes', 'polarity': 'mixed', 'evidence': []}]","[""the app refreshes while you're reading a tweet and you can't find the tweet anymore is very annoying absolute trash of an app since mr wannabe space man took over the app has gone down hill constant bots and spam chats and now the video player doesn""]","[""the app refreshes while you're reading a tweet and you can't find the tweet anymore""]","[{'owner': 'Engineering', 'action': 'Fix crashes / stability', 'priority': 'P0'}]",a sluggish update,Twitter,86
positive,"[{'theme': 'good free convenient', 'polarity': 'mixed', 'evidence': []}]",['i hate that i had to download a separate app just to read a word file'],['good free convenient'],[],i hate that i had to download a separate app just to read a word file,Microsoft Word,87
negative,"[{'theme': 'ad', 'polarity': 'mixed', 'evidence': []}]",['this app is absolutely useless and its full of ads doesnt work of'],['ad blocker'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",hd go kg cgjkndbdjodbdmshsbslcvvl sjshdjhdvsd,SHAREit,88
positive,"[{'theme': 'snap', 'polarity': 'mixed', 'evidence': []}]",['it is not working'],['snap'],[],It's a good app but it's not the best,Snapchat,89
positive,"[{'theme': 'i like the extra features like timeline posts and group chats that make it more social', 'polarity': 'mixed', 'evidence': []}]",['the camera in app is not working cant register my phone number i cant apply line app kok kalau pakai kuota gak bisa kirim gambar ya ngeselin bgt comfortable and smoothly send'],['the stickers collection adds personality to conversations the interface is colorful but easy to navigate i like the extra features like timeline posts and group chats that make it more social the app runs well and keeps improving'],[],a fun and reliable messaging app with great features,LINE,90
negative,"[{'theme': 'i hate ads because they make hate using the shareit app our data is not score in this app our data is not score in this app our data is not score in this app our data is', 'polarity': 'mixed', 'evidence': []}]",['i hate ads because they make hate using the shareit app our data is not score in this app our data is not score in this app our data is not score in this app our data is not score in this app our data is not score in this app our data is not score in this'],['there are no ads'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]","Shareit is a good app, but it's not worth the money.",SHAREit,91
positive,"[{'theme': 'hyena jst', 'polarity': 'mixed', 'evidence': []}]","[""It's a good app but it's not a good app.""]",['hyena jst is a great way to have prince'],[],tiktok is best social media video viral karaoke hyena jst is a great way to have prince,TikTok,92
positive,"[{'theme': 'li', 'polarity': 'mixed', 'evidence': []}]","[""This app is a joke. It's a joke.""]",['this is the best app in the world'],[],This is the best app in the world,Facebook Lite,93
positive,"[{'theme': 'great app allows me to write when i like too anytime die app ist gut falls man eindokumemt erstellen mochte weiter so microsoft corporation lg an euer team its', 'polarity': 'mixed', 'evidence': []}]",['it can get hard navigating it sometimes but its a beautiful app its useful nd helpful takes forever to load if it does at all a little hard to see but handy for emergencies its my first time using the app but regardless it provides the best tools for my digital work its alright'],['great app allows me to write when i like too anytime die app ist gut falls man eindokumemt erstellen mochte weiter so microsoft corporation lg an euer team its works great love it for work it could get hard navigating it sometimes but its a beautiful app'],[],great app allows me to write when i like too anytime die app ist gut falls man eindokumemt erstellen mochte weiter so microsoft corporation lg an euer team its,Microsoft Word,94
negative,"[{'theme': 'flipboard great diversity of content based on my interests very few articles that are out of place also major kudos and thanks to f', 'polarity': 'mixed', 'evidence': []}]",['adios flipboard great diversity of content based on my interests very few articles that are out of place also major kudos and thanks to f'],['flipboard great diversity of content based on my interests very few articles that are out of place also major kudos and thanks to f'],[],Flipboard is a great app but it's a bit slow on Windows 10.,Flipboard,95
positive,"[{'theme': 'i have been using this app very often i upload whatever i want too much options to make the video look aesthetic do try it when i put highlights it keeps loading like i', 'polarity': 'mixed', 'evidence': []}]",['i have been using this app very often i upload whatever i want too much options to make the video look aesthetic do try it when i put highlights it keeps loading like i waited for 1hr pls fix it i will enjoying this app please move the archive story'],['good'],[],This app is very useful for everyone,Instagram,96
negative,"[{'theme': 'i need this for my work', 'polarity': 'mixed', 'evidence': []}]",['i have to announce that i am in viber whenever i down'],['viber'],[],Viber is ok but it's not acceptable to in 2025,Viber,97
negative,"[{'theme': 'doesnt work on my samsung galaxy s10 connection errors i hate this app like bro i cant even log in dont even deserve one star rating please enable line', 'polarity': 'mixed', 'evidence': []}]",['not working on my samsung galaxy s10 connection errors i hate this app like bro i cant even log in dont even deserve one star rating please enable line voom again or timeline please support x8664 android and linux ahun ku'],"[""i hate this app like bro i cant even log in don't even deserve one star rating please enable line voom again or timeline please support x8664 android and linux akun ku hilang entah kenapa login dari f""]",[],Doesn't work on my Samsung Galaxy S10,LINE,98
negative,"[{'theme': 'bad game', 'polarity': 'mixed', 'evidence': []}]",['the game is getting worse by the day i just wanted to play like before without so many boosters and ads popping up ive been playing candy crush for over 10y yall are destroying a nice game great game and addictive good for adhd and autism love it good game but'],['good game'],"[{'owner': 'Product', 'action': 'Reduce ads frequency/placement', 'priority': 'P1'}]",Candy crush is a good game but some levels are too hard to play,Candy Crush Saga,99
